元年（公元前）,师訇簋,逆钟,元年师(方[𠂉史])簋,师虎簋,舀鼎（曶鼎）,伯吕盨,师([甘水]页)簋,裘卫盉,师遽簋盖,颂鼎/颂簋/颂壶/颂壶盖,达盨盖,(疒兴)盨,师酉盘,兮甲盘,五年师(方[𠂉史])簋,九年卫鼎,太师虘簋,走簋,大簋盖,十五年大鼎,趞曹鼎,伯克壶,士山盘,此鼎/此簋,(走马)鼎,走马休盘,庚嬴鼎,典簋,(彔见)簋,小盂鼎,伊簋,廿七年卫簋,(虎斤)簋,㝨鼎/㝨盘,吴盉,晋侯稣钟1,晋侯稣钟2,伯（窥）父盨,晋侯稣钟3,鲜簋,四十二年佐鼎,四十三年佐鼎
1151,,,,,,,,建正:0,,,建正:0,错月:0/0,错月:0/0,,,,建正:0,,建正:0,,,建正:0,建正:0,错月:0/0,建正:0,,,建正:0,建正:0,建正:0,,,,错月:0/0,,错月:0/0,错月:0/0,,,错月:0/0,建正:0,建正:0
1150,超闰:*/0,失闰:0/*,建正:0,超闰:*/0,失闰:0/*,建正:0,建正:0,建正:0,,,建正:0,错月:0/0,失闰:0/*,,错月:0/0,,建正:0,建正:0,建正:0,建正:0,,,错月:0/0,,建正:0,建正:0,,错月:0/0,,失闰:0/*,,,,错月:0/0,,,,,,错月:0/0,建正:0,
1149,建正:0,,失闰:0/*,,,错月:0/0,错月:0/0,建正:0,建正:0,,建正:0,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,,,错月:0/0,,,,,错月:0/0,,建正:0,建正:0,建正:0,,,建正:0,,失闰:0/*,错月:0/0,
1148,建正:0,,,,,,错月:0/0,,错月:0/0,,,,,,错月:0/0,,,建正:0,,错月:0/0,错月:0/0,建正:0,,,,建正:0,错月:0/0,,,,建正:0,错月:0/0,建正:0,,错月:0/0,,错月:0/0,,,,,
1147,,错月:0/0,,建正:0,建正:0,,,,错月:0/0,超闰:*/-1,,,错月:0/0,,,,,,建正:0,,,错月:0/0,,错月:0/0,错月:0/0,,错月:0/0,错月:0/0,错月:0/0,建正:0,超闰:*/0,错月:0/0,建正:0,,错月:0/0,错月:0/0,错月:0/0,,,,,错月:0/0
1146,,建正:0,错月:0/0,错月:0/0,错月:0/0,超闰:*/0,,建正:0,,,建正:0,建正:0,建正:0,错月:0/+1,,,错月:0/0,,错月:0/0,,,错月:0/0,错月:0/0,建正:0,错月:0/0,,失闰:0/*,错月:0/0,错月:0/0,错月:0/0,,,,建正:0,,建正:0,建正:0,,失闰:+1/*,建正:0,错月:0/0,错月:0/0
1145,,建正:0,错月:0/0,失闰:0/*,建正:0,错月:0/0,,错月:0/0,,,错月:0/0,建正:0,,,建正:0,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,,建正:0,,,错月:0/0,,建正:0,失闰:0/*,失闰:0/*,,,,建正:0,,,,,,建正:0,错月:0/0,
1144,建正:0,,错月:0/0,,,错月:0/0,错月:0/0,错月:0/0,错月:0/0,,错月:0/0,失闰:0/*,,,建正:0,,错月:0/0,错月:0/0,,建正:0,建正:0,,建正:0,,,错月:0/0,,,,,建正:0,,建正:0,建正:0,超闰:*/0,,,超闰:*/-1,,,建正:0,
1143,错月:0/0,,,,,,建正:0,,建正:0,,,,,,建正:0,错月:0/+1,,建正:0,,建正:0,建正:0,超闰:*/0,,,,建正:0,建正:0,,,,建正:0,错月:0/0,错月:0/0,,建正:0,,,,,,,
1142,建正:0,建正:0,,错月:0/0,错月:0/0,,,,建正:0,,,,建正:0,,,,,,错月:0/0,,建正:0,建正:0,,建正:0,建正:0,,建正:0,建正:0,建正:0,错月:0/0,错月:0/0,建正:0,错月:0/0,,建正:0,建正:0,建正:0,,,,,建正:0
